Model,Train_Accuracy,Val_Accuracy,Test_Accuracy,Test_Precision,Test_Recall,Test_F1_Score,Training_Time_s,Vectorizer
svm,0.9974293059125964,0.8192771084337349,0.8690476190476191,0.8544114615543188,0.8690476190476191,0.853777816794734,0.17601275444030762,tfidf
mlp,1.0,0.8433734939759037,0.8452380952380952,0.85176936159079,0.8452380952380952,0.8270898413755555,1.764023780822754,tfidf
logistic,0.9922879177377892,0.8192771084337349,0.8452380952380952,0.859603011858651,0.8452380952380952,0.827411083169936,0.18853425979614258,tfidf
naive_bayes,0.9794344473007712,0.7951807228915663,0.8333333333333334,0.8054218657159834,0.8333333333333334,0.7982331650143422,0.009471654891967773,count
random_forest,0.8920308483290489,0.7228915662650602,0.8095238095238095,0.8579365079365079,0.8095238095238095,0.7982872947158661,0.4274718761444092,tfidf
